state,crude_rate,age_adjusted_rate
New Mexico,103.71,101.94
West Virginia,102.52,98.03
Oklahoma,90.82,88.82
Wyoming,87.99,86.64
Alaska,83.48,85.84
Montana,88.12,83.1
Mississippi,82.73,81.81
Kentucky,82.34,80.72
Louisiana,78.59,77.54
Tennessee,79.96,77.43
Arkansas,76.86,75.25
Missouri,77.05,74.12
Alabama,74.75,73.18
Utah,65.38,72.99
Arizona,75.45,72.61
Colorado,72.5,72.16
South Carolina,74.66,72.03
Idaho,70.73,71.24
South Dakota,75.25,71.05
New Hampshire,75.44,70.83
Ohio,72.16,69.44
Vermont,76.29,68.22
Nevada,68.61,67.01
Indiana,67.64,66.46
Pennsylvania,72.13,66.11
Delaware,67.23,65.75
Kansas,68.42,65.23
Maine,71.57,65.01
Wisconsin,70.03,64.21
Oregon,69.84,64.13
North Dakota,69.51,64.09
Michigan,67.12,63.84
North Carolina,65.78,63.7
Rhode Island,70.89,62.82
Florida,68.73,61.48
Georgia,59.44,60.05
United States,62.65,59.92
Washington,62.71,59.58
Iowa,65.82,58.44
District of Columbia,58.43,56.22
Maryland,58.26,56.09
Nebraska,59.31,56.02
Texas,54.35,55.62
Virginia,56.46,54.67
Minnesota,59.11,54.3
Connecticut,59.5,53.87
Illinois,54.21,52.02
Massachusetts,51.18,47.39
Hawaii,51.64,47.29
California,46.78,44.94
New Jersey,47.1,44.39
New York,43.48,40.22
