id,lat,lon,name,level,geocode_data,city,state,latlng,county
2,71.2989395,-156.7285976,Samuel Simmonds Memorial Hospital,4,"{u'geometry': {u'location_type': u'RANGE_INTERPOLATED', u'bounds': {u'northeast': {u'lat': 71.2996722, u'lng': -156.7286025}, u'southwest': {u'lat': 71.2989293, u'lng': -156.7297836}}, u'viewport': {u'northeast': {u'lat': 71.30064973029151, u'lng': -156.7278440697085}, u'southwest': {u'lat': 71.2979517697085, u'lng': -156.7305420302915}}, u'location': {u'lat': 71.2989395, u'lng': -156.7285976}}, u'address_components': [{u'long_name': u'7022-7026', u'types': [u'street_number'], u'short_name': u'7022-7026'}, {u'long_name': u'Uula Street', u'types': [u'route'], u'short_name': u'Uula St'}, {u'long_name': u'Barrow', u'types': [u'locality', u'political'], u'short_name': u'Barrow'}, {u'long_name': u'North Slope', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'North Slope'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99723', u'types': [u'postal_code'], u'short_name': u'99723'}], u'place_id': u'Eig3MDIyLTcwMjYgVXVsYSBTdCwgQmFycm93LCBBSyA5OTcyMywgVVNB', u'formatted_address': u'7022-7026 Uula St, Barrow, AK 99723, USA', u'types': [u'route', u'street_address']}",Barrow,Alaska,"71.2989395,-156.7285976",North Slope
5,64.8311569,-147.7399472,Fairbanks Memorial Hospital,4,"{u'geometry': {u'location': {u'lat': 64.8311569, u'lng': -147.7399472}, u'viewport': {u'northeast': {u'lat': 64.8325058802915, u'lng': -147.7385982197085}, u'southwest': {u'lat': 64.82980791970849, u'lng': -147.7412961802915}}, u'location_type': u'ROOFTOP'}, u'address_components': [{u'long_name': u'1650', u'types': [u'street_number'], u'short_name': u'1650'}, {u'long_name': u'Cowles Street', u'types': [u'route'], u'short_name': u'Cowles St'}, {u'long_name': u'Fairbanks', u'types': [u'locality', u'political'], u'short_name': u'Fairbanks'}, {u'long_name': u'Fairbanks North Star', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Fairbanks North Star'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99701', u'types': [u'postal_code'], u'short_name': u'99701'}, {u'long_name': u'5998', u'types': [u'postal_code_suffix'], u'short_name': u'5998'}], u'place_id': u'ChIJVd2hMbRaMlERpkxwG7rSZgc', u'formatted_address': u'1650 Cowles St, Fairbanks, AK 99701, USA', u'types': [u'street_address']}",Fairbanks,Alaska,"64.8311569,-147.7399472",Fairbanks North Star
10,64.5011111,-165.4063889,Norton Sound Regional Hospital,4,"{u'geometry': {u'location_type': u'ROOFTOP', u'bounds': {u'northeast': {u'lat': 64.50120629999999, u'lng': -165.406259}, u'southwest': {u'lat': 64.501068, u'lng': -165.4065301}}, u'viewport': {u'northeast': {u'lat': 64.5024861302915, u'lng': -165.4050455697085}, u'southwest': {u'lat': 64.4997881697085, u'lng': -165.4077435302915}}, u'location': {u'lat': 64.5011371, u'lng': -165.4063945}}, u'address_components': [{u'long_name': u'201', u'types': [u'street_number'], u'short_name': u'201'}, {u'long_name': u'Tobuk Alley', u'types': [u'route'], u'short_name': u'Tobuk Alley'}, {u'long_name': u'Nome', u'types': [u'locality', u'political'], u'short_name': u'Nome'}, {u'long_name': u'Nome', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Nome'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99762', u'types': [u'postal_code'], u'short_name': u'99762'}], u'place_id': u'ChIJXRkaXsYbMVcRrilZ1CyBsd8', u'formatted_address': u'201 Tobuk Alley, Nome, AK 99762, USA', u'types': [u'premise']}",Nome,Alaska,"64.5011111,-165.4063889",Nome
1,61.2351677,-149.7487199,673 MDG Elmendorf - U.S. Air Force Regional Hospital,4,"{u'geometry': {u'location': {u'lat': 61.235283, u'lng': -149.7450749}, u'viewport': {u'northeast': {u'lat': 61.2366319802915, u'lng': -149.7437259197085}, u'southwest': {u'lat': 61.23393401970849, u'lng': -149.7464238802915}}, u'location_type': u'ROOFTOP'}, u'address_components': [{u'long_name': u'5965', u'types': [u'street_number'], u'short_name': u'5965'}, {u'long_name': u'Zeamer Avenue', u'types': [u'route'], u'short_name': u'Zeamer Ave'}, {u'long_name': u'Anchorage', u'types': [u'locality', u'political'], u'short_name': u'Anchorage'}, {u'long_name': u'Anchorage', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Anchorage'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99506', u'types': [u'postal_code'], u'short_name': u'99506'}], u'place_id': u'ChIJKV_vYC6UyFYR-smXdCu-nP8', u'formatted_address': u'5965 Zeamer Ave, Anchorage, AK 99506, USA', u'types': [u'street_address']}",Anchorage,Alaska,"61.2351677,-149.7487199",Anchorage
15,61.1880195,-149.8210696,Providence Alaska Medical Center,2,"{u'geometry': {u'location': {u'lat': 61.1880195, u'lng': -149.8210696}, u'viewport': {u'northeast': {u'lat': 61.1893684802915, u'lng': -149.8197206197085}, u'southwest': {u'lat': 61.18667051970849, u'lng': -149.8224185802915}}, u'location_type': u'ROOFTOP'}, u'address_components': [{u'long_name': u'3200', u'types': [u'street_number'], u'short_name': u'3200'}, {u'long_name': u'Providence Drive', u'types': [u'route'], u'short_name': u'Providence Dr'}, {u'long_name': u'U-MED District', u'types': [u'neighborhood', u'political'], u'short_name': u'U-MED District'}, {u'long_name': u'Anchorage', u'types': [u'locality', u'political'], u'short_name': u'Anchorage'}, {u'long_name': u'Anchorage', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Anchorage'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99508', u'types': [u'postal_code'], u'short_name': u'99508'}], u'place_id': u'ChIJYUaS4gCXyFYRRY-Q2_RJ19g', u'formatted_address': u'3200 Providence Dr, Anchorage, AK 99508, USA', u'types': [u'street_address']}",Anchorage,Alaska,"61.1880195,-149.8210696",Anchorage
0,61.1827424,-149.8006627,Alaska Native Medical Center,2,"{u'geometry': {u'location_type': u'ROOFTOP', u'bounds': {u'northeast': {u'lat': 61.1833287, u'lng': -149.7988518}, u'southwest': {u'lat': 61.1821561, u'lng': -149.8024737}}, u'viewport': {u'northeast': {u'lat': 61.18409138029151, u'lng': -149.7988518}, u'southwest': {u'lat': 61.1813934197085, u'lng': -149.8024737}}, u'location': {u'lat': 61.1827424, u'lng': -149.8006627}}, u'address_components': [{u'long_name': u'4315', u'types': [u'street_number'], u'short_name': u'4315'}, {u'long_name': u'Diplomacy Drive', u'types': [u'route'], u'short_name': u'Diplomacy Dr'}, {u'long_name': u'U-MED District', u'types': [u'neighborhood', u'political'], u'short_name': u'U-MED District'}, {u'long_name': u'Anchorage', u'types': [u'locality', u'political'], u'short_name': u'Anchorage'}, {u'long_name': u'Anchorage', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Anchorage'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99508', u'types': [u'postal_code'], u'short_name': u'99508'}], u'place_id': u'ChIJFWVsXxyXyFYRw2prncu-1pc', u'formatted_address': u'4315 Diplomacy Dr, Anchorage, AK 99508, USA', u'types': [u'premise']}",Anchorage,Alaska,"61.1827424,-149.8006627",Anchorage
14,61.1368505,-146.3496147,Providence Valdez Medical Center,4,"{u'geometry': {u'location_type': u'RANGE_INTERPOLATED', u'bounds': {u'northeast': {u'lat': 61.13698420000001, u'lng': -146.3496255}, u'southwest': {u'lat': 61.1362128, u'lng': -146.3496352}}, u'viewport': {u'northeast': {u'lat': 61.1379474802915, u'lng': -146.3482813697085}, u'southwest': {u'lat': 61.13524951970849, u'lng': -146.3509793302915}}, u'location': {u'lat': 61.1368505, u'lng': -146.3496147}}, u'address_components': [{u'long_name': u'901-913', u'types': [u'street_number'], u'short_name': u'901-913'}, {u'long_name': u'Meals Avenue', u'types': [u'route'], u'short_name': u'Meals Ave'}, {u'long_name': u'Valdez', u'types': [u'locality', u'political'], u'short_name': u'Valdez'}, {u'long_name': u'Valdez-Cordova', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Valdez-Cordova'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99686', u'types': [u'postal_code'], u'short_name': u'99686'}], u'place_id': u'Eig5MDEtOTEzIE1lYWxzIEF2ZSwgVmFsZGV6LCBBSyA5OTY4NiwgVVNB', u'formatted_address': u'901-913 Meals Ave, Valdez, AK 99686, USA', u'types': [u'route', u'street_address']}",Valdez,Alaska,"61.1368505,-146.3496147",Valdez-Cordova
3,60.787992,-161.787372,Yukon-Kushokwim Delta Regional Hospital,4,"{u'geometry': {u'location': {u'lat': 60.787992, u'lng': -161.787372}, u'viewport': {u'northeast': {u'lat': 60.7893409802915, u'lng': -161.7860230197085}, u'southwest': {u'lat': 60.78664301970849, u'lng': -161.7887209802915}}, u'location_type': u'ROOFTOP'}, u'address_components': [{u'long_name': u'700', u'types': [u'street_number'], u'short_name': u'700'}, {u'long_name': u'Chief Eddie Hoffman Highway', u'types': [u'route'], u'short_name': u'Chief Eddie Hoffman Hwy'}, {u'long_name': u'Bethel', u'types': [u'locality', u'political'], u'short_name': u'Bethel'}, {u'long_name': u'Bethel', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Bethel'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99559', u'types': [u'postal_code'], u'short_name': u'99559'}], u'place_id': u'ChIJrXnkf9dUIFcRM5JcjU1Xizc', u'formatted_address': u'700 Chief Eddie Hoffman Hwy, Bethel, AK 99559, USA', u'types': [u'street_address']}",Bethel,Alaska,"60.787992,-161.787372",Bethel
11,60.1051317,-149.446325,Providence Seward Medical Center,4,"{u'geometry': {u'location_type': u'ROOFTOP', u'bounds': {u'northeast': {u'lat': 60.1053831, u'lng': -149.445988}, u'southwest': {u'lat': 60.1048802, u'lng': -149.446662}}, u'viewport': {u'northeast': {u'lat': 60.1064806302915, u'lng': -149.4449760197085}, u'southwest': {u'lat': 60.10378266970849, u'lng': -149.4476739802915}}, u'location': {u'lat': 60.1051316, u'lng': -149.446325}}, u'address_components': [{u'long_name': u'417', u'types': [u'street_number'], u'short_name': u'417'}, {u'long_name': u'1st Avenue', u'types': [u'route'], u'short_name': u'1st Ave'}, {u'long_name': u'Seward', u'types': [u'locality', u'political'], u'short_name': u'Seward'}, {u'long_name': u'Kenai Peninsula Borough', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Kenai Peninsula Borough'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99664', u'types': [u'postal_code'], u'short_name': u'99664'}], u'place_id': u'ChIJKalP-mScx1YRvhK-NRE-YgU', u'formatted_address': u'417 1st Ave, Seward, AK 99664, USA', u'types': [u'premise']}",Seward,Alaska,"60.1051317,-149.446325",Kenai Peninsula Borough
6,59.6531099,-151.5480429,South Peninsula Hospital,4,"{u'geometry': {u'location': {u'lat': 59.6531099, u'lng': -151.5480429}, u'viewport': {u'northeast': {u'lat': 59.65445888029151, u'lng': -151.5466939197085}, u'southwest': {u'lat': 59.65176091970849, u'lng': -151.5493918802915}}, u'location_type': u'ROOFTOP'}, u'address_components': [{u'long_name': u'4300', u'types': [u'street_number'], u'short_name': u'4300'}, {u'long_name': u'Bartlett Street', u'types': [u'route'], u'short_name': u'Bartlett St'}, {u'long_name': u'Homer', u'types': [u'locality', u'political'], u'short_name': u'Homer'}, {u'long_name': u'Kenai Peninsula Borough', u'types': [u'administrative_area_level_2', u'political'], u'short_name': u'Kenai Peninsula Borough'}, {u'long_name': u'Alaska', u'types': [u'administrative_area_level_1', u'political'], u'short_name': u'AK'}, {u'long_name': u'United States', u'types': [u'country', u'political'], u'short_name': u'US'}, {u'long_name': u'99603', u'types': [u'postal_code'], u'short_name': u'99603'}, {u'long_name': u'7005', u'types': [u'postal_code_suffix'], u'short_name': u'7005'}], u'place_id': u'ChIJ5zHfonEywVYRbklsxpEPM_Y', u'formatted_address': u'4300 Bartlett St, Homer, AK 99603, USA', u'types': [u'street_address']}",Homer,Alaska,"59.6531099,-151.5480429",Kenai Peninsula Borough
