id,lat,lon,place,level,city,state,county
1300,33.8809414,-94.812748,McCurtain Memorial Hospital,4,Idabel,Oklahoma,McCurtain County
1307,33.940967,-97.1308379,Mercy Health - Love County,4,Marietta,Oklahoma,Love County
1282,34.006549,-96.393983,Alliance Durant,3,Durant,Oklahoma,Bryan County
1299,34.012298,-95.4965024,Choctaw Memorial Hospital,4,Hugo,Oklahoma,Choctaw County
1305,34.0809354,-96.779004,INTEGRIS Marshall Memorial Hospital,4,Madill,Oklahoma,Marshall County
1358,34.1583698,-97.9252564,Jefferson County Hospital,4,Waurika,Oklahoma,Jefferson County
1262,34.189085,-97.141276,Mercy Memorial Ardmore,3,Ardmore,Oklahoma,Carter County
1294,34.22371,-97.490326,Mercy Hospital Healdton,4,Healdton,Oklahoma,Carter County
1348,34.2241895,-96.6759925,Mercy Hospital Tishomingo,4,Tishomingo,Oklahoma,Johnston County
1261,34.2317353,-95.6154687,Pushmataha County-Town of Antlers Hospital Authority,4,Antlers,Oklahoma,Pushmataha County
1263,34.393994,-96.1506937,Atoka Memorial Hospital,4,Atoka,Oklahoma,Atoka County
1290,34.4033022,-99.0144377,Memorial Hospital & Physician's Group,4,Frederick,Oklahoma,Tillman County
1346,34.5052099,-96.9961444,Arbuckle Memorial Hospital,4,Sulphur,Oklahoma,Murray County
1281,34.5203619,-97.9759136,Duncan Regional Hospital,3,Duncan,Oklahoma,Stephens County
1277,34.538825,-96.2243366,Mary Hurley Coal County General Hospital,4,Coalgate,Oklahoma,Coal County
1303,34.5927167,-98.4626887,Southwestern Medical Center,4,Lawton,Oklahoma,Comanche County
1302,34.6089373,-98.4367363,Comanche County Memorial Hospital,3,Lawton,Oklahoma,Comanche County
1258,34.6370795,-99.317331,Jackson County Memorial Hospital,3,Altus,Oklahoma,Jackson County
1298,34.6915179,-99.9148767,Harmon Memorial Hospital,4,Hollis,Oklahoma,Harmon County
1327,34.7196376,-97.2147038,Pauls Valley General Hospital,4,Pauls Valley,Oklahoma,Garvin County
1257,34.778188,-96.6333317,Mercy Hospital Ada,3,Ada,Oklahoma,Pontotoc County
1304,34.8370865,-97.6182758,Lindsay Municipal Hospital,4,Lindsay,Oklahoma,Garvin County
1306,34.8918205,-99.5013188,Quartz Mountain Medical Center,4,Mangum,Oklahoma,Greer County
